,,,,DAILY AVG,DAILY AVG,DAILY AVG,DAILY AVG,Continuous Since Jan 1978,Continuous Since Jan 1978,Continuous Since Jan 1978,Continuous Since June 1977,Continuous Since June 1977,Continuous Since June 1977,,,cut off from more data,
Month,Govt stringency,VaxFull,Total Covid,New Cases,New Cases Per Million,New Deaths,New Deaths Per Million,Michigan overall consumer sentiment,Michigan Sentiment Expected Conditions,Michigan Sentiment Current Conditions,Conference Board Overall Consumer Confidence,Conference Board Consumer Confidence in Expected Conditions,Conference Board Consumer Confidence in Current Conditions,ISM Manufacturing,ISM nonmanufacuring,PSAVERT,REAL GDP(Q)
1967M01,0,0,0,0,0,0,0,,,,,,,49.1,,12.1,4538.498
1967M02,0,0,0,0,0,0,0,,,,,,,47.6,,12.6,4541.280
1967M03,0,0,0,0,0,0,0,,,,,,,45.3,,12.8,4584.246
1967M04,0,0,0,0,0,0,0,,,,,,,42.8,,11.9,4618.812
1967M05,0,0,0,0,0,0,0,,,,,,,44.5,,12.0,4713.013
1967M06,0,0,0,0,0,0,0,,,,,,,46.8,,11.9,4791.758
1967M07,0,0,0,0,0,0,0,,,,,,,49.5,,12.6,4828.892
1967M08,0,0,0,0,0,0,0,,,,,,,52.2,,12.6,4847.885
1967M09,0,0,0,0,0,0,0,,,,,,,54.9,,11.9,4923.760
1967M10,0,0,0,0,0,0,0,,,,,,,54.1,,12.9,4938.728
1967M11,0,0,0,0,0,0,0,,,,,,,54.2,,12.8,4971.349
1967M12,0,0,0,0,0,0,0,,,,,,,55.6,,11.8,4947.104
1968M01,0,0,0,0,0,0,0,,,,,,,56.6,,11.7,4939.759
1968M02,0,0,0,0,0,0,0,,,,,,,55,,12.3,4946.770
1968M03,0,0,0,0,0,0,0,,,,,,,53.8,,11.7,4992.357
1968M04,0,0,0,0,0,0,0,,,,,,,58,,12.3,4938.857
1968M05,0,0,0,0,0,0,0,,,,,,,55.3,,12.0,5072.996
1968M06,0,0,0,0,0,0,0,,,,,,,53.5,,11.7,5100.447
1968M07,0,0,0,0,0,0,0,,,,,,,54.1,,10.7,5142.422
1968M08,0,0,0,0,0,0,0,,,,,,,52.7,,10.5,5154.547
1968M09,0,0,0,0,0,0,0,,,,,,,51.8,,10.6,5249.337
1968M10,0,0,0,0,0,0,0,,,,,,,55.8,,10.8,5368.485
1968M11,0,0,0,0,0,0,0,,,,,,,58.1,,10.6,5419.184
1968M12,0,0,0,0,0,0,0,,,,,,,56.1,,11.1,5509.926
1969M01,0,0,0,0,0,0,0,,,,,,,54.9,,10.3,5646.286
1969M02,0,0,0,0,0,0,0,,,,,,,57,,9.7,5707.755
1969M03,0,0,0,0,0,0,0,,,,,,,57.1,,10.2,5677.738
1969M04,0,0,0,0,0,0,0,,,,,,,55.2,,9.7,5731.632
1969M05,0,0,0,0,0,0,0,,,,,,,56.7,,10.1,5682.353
1969M06,0,0,0,0,0,0,0,,,,,,,55.5,,11.1,5695.859
1969M07,0,0,0,0,0,0,0,,,,,,,53.1,,11.8,5642.025
1969M08,0,0,0,0,0,0,0,,,,,,,54.8,,11.5,5620.126
1969M09,0,0,0,0,0,0,0,,,,,,,54.1,,11.6,5551.713
1969M10,0,0,0,0,0,0,0,,,,,,,54.6,,11.4,5591.382
1969M11,0,0,0,0,0,0,0,,,,,,,53.2,,11.6,5687.087
1969M12,0,0,0,0,0,0,0,,,,,,,52,,11.8,5763.665
1970M01,0,0,0,0,0,0,0,,,,,,,48.7,,11.8,5893.276
1970M02,0,0,0,0,0,0,0,,,,,,,47.4,,11.7,5936.515
1970M03,0,0,0,0,0,0,0,,,,,,,46.9,,12.4,5969.089
1970M04,0,0,0,0,0,0,0,,,,,,,45,,13.3,6012.356
1970M05,0,0,0,0,0,0,0,,,,,,,47.2,,12.4,6083.391
1970M06,0,0,0,0,0,0,0,,,,,,,51.1,,12.3,6201.659
1970M07,0,0,0,0,0,0,0,,,,,,,49.5,,13.5,6313.559
1970M08,0,0,0,0,0,0,0,,,,,,,47.3,,13.4,6313.697
1970M09,0,0,0,0,0,0,0,,,,,,,44.1,,12.9,6333.848
1970M10,0,0,0,0,0,0,0,,,,,,,42.4,,13.1,6578.605
1970M11,0,0,0,0,0,0,0,,,,,,,39.7,,13.6,6644.754
1970M12,0,0,0,0,0,0,0,,,,,,,45.4,,13.2,6734.069
1971M01,0,0,0,0,0,0,0,,,,,,,47.9,,13.3,6746.176
1971M02,0,0,0,0,0,0,0,,,,,,,54.8,,13.3,6753.389
1971M03,0,0,0,0,0,0,0,,,,,,,51.2,,13.5,6803.558
1971M04,0,0,0,0,0,0,0,,,,,,,54.5,,13.2,6820.572
1971M05,0,0,0,0,0,0,0,,,,,,,54.2,,13.6,6842.024
1971M06,0,0,0,0,0,0,0,,,,,,,53.8,,14.7,6701.046
1971M07,0,0,0,0,0,0,0,,,,,,,54.4,,13.8,6693.082
1971M08,0,0,0,0,0,0,0,,,,,,,53.6,,13.6,6817.903
1971M09,0,0,0,0,0,0,0,,,,,,,55.1,,13.3,6951.495
1971M10,0,0,0,0,0,0,0,,,,,,,55,,13.3,6899.980
1971M11,0,0,0,0,0,0,0,,,,,,,52.3,,13.1,6982.609
1971M12,0,0,0,0,0,0,0,,,,,,,57.6,,13.0,6906.529
1972M01,0,0,0,0,0,0,0,,,,,,,59.6,,12.5,6799.233
1972M02,0,0,0,0,0,0,0,,,,,,,60.6,,12.8,6830.251
1972M03,0,0,0,0,0,0,0,,,,,,,59.8,,11.8,6804.139
1972M04,0,0,0,0,0,0,0,,,,,,,59.3,,11.5,6806.857
1972M05,0,0,0,0,0,0,0,,,,,,,61.4,,11.7,6896.561
1972M06,0,0,0,0,0,0,0,,,,,,,58.6,,11.7,7053.500
1972M07,0,0,0,0,0,0,0,,,,,,,60.1,,11.7,7194.504
1972M08,0,0,0,0,0,0,0,,,,,,,61.7,,12.0,7344.597
1972M09,0,0,0,0,0,0,0,,,,,,,65.1,,12.2,7488.167
1972M10,0,0,0,0,0,0,0,,,,,,,67,,13.0,7617.547
1972M11,0,0,0,0,0,0,0,,,,,,,69.9,,13.6,7690.985
1972M12,0,0,0,0,0,0,0,,,,,,,70.5,,13.7,7754.117
1973M01,0,0,0,0,0,0,0,,,,,,,72.1,,12.4,7829.260
1973M02,0,0,0,0,0,0,0,,,,,,,69.6,,12.5,7898.194
1973M03,0,0,0,0,0,0,0,,,,,,,69.6,,12.7,8018.809
1973M04,0,0,0,0,0,0,0,,,,,,,67.7,,13.2,8078.415
1973M05,0,0,0,0,0,0,0,,,,,,,64.8,,13.2,8153.829
1973M06,0,0,0,0,0,0,0,,,,,,,65,,13.6,8190.552
1973M07,0,0,0,0,0,0,0,,,,,,,57.8,,13.2,8268.935
1973M08,0,0,0,0,0,0,0,,,,,,,62.7,,13.9,8313.338
1973M09,0,0,0,0,0,0,0,,,,,,,63.5,,13.1,8375.274
1973M10,0,0,0,0,0,0,0,,,,,,,66.2,,14.4,8465.630
1973M11,0,0,0,0,0,0,0,,,,,,,68.1,,14.4,8539.075
1973M12,0,0,0,0,0,0,0,,,,,,,63.6,,14.8,8685.694
1974M01,0,0,0,0,0,0,0,,,,99.04207,,,62.1,,14.3,8730.569
1974M02,0,0,0,0,0,0,0,,,,98.98896,,,58.6,,14.2,8845.280
1974M03,0,0,0,0,0,0,0,,,,99.11949,,,61.8,,13.4,8897.107
1974M04,0,0,0,0,0,0,0,,,,99.25858,,,59.9,,13.1,9015.661
1974M05,0,0,0,0,0,0,0,,,,99.23489,,,55.7,,12.8,9107.314
1974M06,0,0,0,0,0,0,0,,,,99.06351,,,54.7,,12.8,9176.827
1974M07,0,0,0,0,0,0,0,,,,98.82465,,,54.8,,12.8,9244.816
1974M08,0,0,0,0,0,0,0,,,,98.5909,,,52.9,,12.1,9263.033
1974M09,0,0,0,0,0,0,0,,,,98.38078,,,46.2,,12.9,9364.259
1974M10,0,0,0,0,0,0,0,,,,98.21665,,,42.7,,13.4,9398.243
1974M11,0,0,0,0,0,0,0,,,,98.14568,,,37.9,,13.8,9404.494
1974M12,0,0,0,0,0,0,0,,,,98.17189,,,30.9,,14.0,9318.876
1975M01,0,0,0,0,0,0,0,,,,98.32552,,,30.7,,13.2,9275.276
1975M02,0,0,0,0,0,0,0,,,,98.59344,,,34.4,,12.5,9347.597
1975M03,0,0,0,0,0,0,0,,,,98.90186,,,31.6,,12.7,9394.834
1975M04,0,0,0,0,0,0,0,,,,99.17805,,,37.5,,14.2,9427.581
1975M05,0,0,0,0,0,0,0,,,,99.35952,,,41.2,,17.3,9540.444
1975M06,0,0,0,0,0,0,0,,,,99.46787,,,45.1,,14.3,9643.893
1975M07,0,0,0,0,0,0,0,,,,99.54979,,,47.2,,12.6,9739.185
1975M08,0,0,0,0,0,0,0,,,,99.6029,,,51.4,,13.0,9840.753
1975M09,0,0,0,0,0,0,0,,,,99.66647,,,54.4,,13.0,9857.185
