date,govt_string,tot_cases,new_cases,new_deaths,umsennt_over,umsent_exp,umsenti_cur,cci_over,cci_exp,cci_cur,ism_manu,ism_non,tot_deaths,new_deaths
1967M01,,,,,,,,,,,49.1,,,
1967M02,,,,,,,,,,,47.6,,,
1967M03,,,,,,,,,,,45.3,,,
1967M04,,,,,,,,,,,42.8,,,
1967M05,,,,,,,,,,,44.5,,,
1967M06,,,,,,,,,,,46.8,,,
1967M07,,,,,,,,,,,49.5,,,
1967M08,,,,,,,,,,,52.2,,,
1967M09,,,,,,,,,,,54.9,,,
1967M10,,,,,,,,,,,54.1,,,
1967M11,,,,,,,,,,,54.2,,,
1967M12,,,,,,,,,,,55.6,,,
1968M01,,,,,,,,,,,56.6,,,
1968M02,,,,,,,,,,,55,,,
1968M03,,,,,,,,,,,53.8,,,
1968M04,,,,,,,,,,,58,,,
1968M05,,,,,,,,,,,55.3,,,
1968M06,,,,,,,,,,,53.5,,,
1968M07,,,,,,,,,,,54.1,,,
1968M08,,,,,,,,,,,52.7,,,
1968M09,,,,,,,,,,,51.8,,,
1968M10,,,,,,,,,,,55.8,,,
1968M11,,,,,,,,,,,58.1,,,
1968M12,,,,,,,,,,,56.1,,,
1969M01,,,,,,,,,,,54.9,,,
1969M02,,,,,,,,,,,57,,,
1969M03,,,,,,,,,,,57.1,,,
1969M04,,,,,,,,,,,55.2,,,
1969M05,,,,,,,,,,,56.7,,,
1969M06,,,,,,,,,,,55.5,,,
1969M07,,,,,,,,,,,53.1,,,
1969M08,,,,,,,,,,,54.8,,,
1969M09,,,,,,,,,,,54.1,,,
1969M10,,,,,,,,,,,54.6,,,
1969M11,,,,,,,,,,,53.2,,,
1969M12,,,,,,,,,,,52,,,
1970M01,,,,,,,,,,,48.7,,,
1970M02,,,,,,,,,,,47.4,,,
1970M03,,,,,,,,,,,46.9,,,
1970M04,,,,,,,,,,,45,,,
1970M05,,,,,,,,,,,47.2,,,
1970M06,,,,,,,,,,,51.1,,,
1970M07,,,,,,,,,,,49.5,,,
1970M08,,,,,,,,,,,47.3,,,
1970M09,,,,,,,,,,,44.1,,,
1970M10,,,,,,,,,,,42.4,,,
1970M11,,,,,,,,,,,39.7,,,
1970M12,,,,,,,,,,,45.4,,,
1971M01,,,,,,,,,,,47.9,,,
1971M02,,,,,,,,,,,54.8,,,
1971M03,,,,,,,,,,,51.2,,,
1971M04,,,,,,,,,,,54.5,,,
1971M05,,,,,,,,,,,54.2,,,
1971M06,,,,,,,,,,,53.8,,,
1971M07,,,,,,,,,,,54.4,,,
1971M08,,,,,,,,,,,53.6,,,
1971M09,,,,,,,,,,,55.1,,,
1971M10,,,,,,,,,,,55,,,
1971M11,,,,,,,,,,,52.3,,,
1971M12,,,,,,,,,,,57.6,,,
1972M01,,,,,,,,,,,59.6,,,
1972M02,,,,,,,,,,,60.6,,,
1972M03,,,,,,,,,,,59.8,,,
1972M04,,,,,,,,,,,59.3,,,
1972M05,,,,,,,,,,,61.4,,,
1972M06,,,,,,,,,,,58.6,,,
1972M07,,,,,,,,,,,60.1,,,
1972M08,,,,,,,,,,,61.7,,,
1972M09,,,,,,,,,,,65.1,,,
1972M10,,,,,,,,,,,67,,,
1972M11,,,,,,,,,,,69.9,,,
1972M12,,,,,,,,,,,70.5,,,
1973M01,,,,,,,,,,,72.1,,,
1973M02,,,,,,,,,,,69.6,,,
1973M03,,,,,,,,,,,69.6,,,
1973M04,,,,,,,,,,,67.7,,,
1973M05,,,,,,,,,,,64.8,,,
1973M06,,,,,,,,,,,65,,,
1973M07,,,,,,,,,,,57.8,,,
1973M08,,,,,,,,,,,62.7,,,
1973M09,,,,,,,,,,,63.5,,,
1973M10,,,,,,,,,,,66.2,,,
1973M11,,,,,,,,,,,68.1,,,
1973M12,,,,,,,,,,,63.6,,,
1974M01,,,,,,,,99.04207,,,62.1,,,
1974M02,,,,,,,,98.98896,,,58.6,,,
1974M03,,,,,,,,99.11949,,,61.8,,,
1974M04,,,,,,,,99.25858,,,59.9,,,
1974M05,,,,,,,,99.23489,,,55.7,,,
1974M06,,,,,,,,99.06351,,,54.7,,,
1974M07,,,,,,,,98.82465,,,54.8,,,
1974M08,,,,,,,,98.5909,,,52.9,,,
1974M09,,,,,,,,98.38078,,,46.2,,,
1974M10,,,,,,,,98.21665,,,42.7,,,
1974M11,,,,,,,,98.14568,,,37.9,,,
1974M12,,,,,,,,98.17189,,,30.9,,,
1975M01,,,,,,,,98.32552,,,30.7,,,
1975M02,,,,,,,,98.59344,,,34.4,,,
1975M03,,,,,,,,98.90186,,,31.6,,,
1975M04,,,,,,,,99.17805,,,37.5,,,
1975M05,,,,,,,,99.35952,,,41.2,,,
1975M06,,,,,,,,99.46787,,,45.1,,,
