"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-01",101.4258,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-02",101.4062,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-03",101.2465,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-04",100.9786,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-05",100.8204,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-06",100.8573,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-07",101.0541,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-08",101.218,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-09",101.3877,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-10",101.5233,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-11",101.3362,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-12",100.7395,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-01",99.88873,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-02",99.48566,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-03",99.57848,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-04",99.96497,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-05",100.2461,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-06",100.3184,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-07",100.2389,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-08",100.1536,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-09",100.0831,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-10",100.0088,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-11",99.94247,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-12",99.85501,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-01",99.7422,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-02",99.71232,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-03",99.65965,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-04",99.5872,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-05",99.51293,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-06",99.39575,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-07",99.20977,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-08",99.06152,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-09",98.93655,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-10",98.84761,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-11",98.95975,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-12",99.38625,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1976-01",100.0765,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1976-02",100.5359,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1976-03",100.6004,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1976-04",100.4161,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1976-05",100.2286,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1976-06",100.1279,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1976-07",100.0892,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1976-08",100.0739,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1976-09",100.0679,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1976-10",100.0974,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1976-11",100.2348,
