location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,positive_rate,stringency_index,cci,umsent,ism_man,ism_non
United States,2020-02-01,8,0,0.857,,,,0,101.2,101,50.3,56.9
United States,2020-03-01,32,7,2.286,1,0,,8.33,0.2,89.1,49.1,52.8
United States,2020-04-01,227893,35814,22721.714,6996,1637,0.199,72.69,99,71.8,41.6,41.5
United States,2020-05-01,1115845,34846,28132.143,68515,1880,0.136,72.69,98.5,72.3,43.5,45.2
United States,2020-06-01,1808724,17853,20389.857,108613,767,0.064,72.69,98.5,78.1,52.4,56.8
United States,2020-07-01,2697982,49332,44724.857,128120,702,0.094,68.98,98.5,72.5,53.9,57
United States,2020-08-01,4605802,57401,62169.857,155040,1116,0.084,67.13,98.7,74.1,55.4,57.4
United States,2020-09-01,6088331,41966,41661.286,183831,1067,0.055,67.13,99,80.4,55.4,57.7
United States,2020-10-01,7292533,46355,41392.286,206836,896,0.048,62.5,99.2,81.8,58.8,56.1
United States,2020-11-01,9253123,78060,84239.143,231003,509,0.075,62.5,99.1,76.9,57.3,56.5
United States,2020-12-01,13864255,198697,167643.286,273042,2561,0.113,75.46,99.1,80.7,60.5,57.8
United States,2021-01-01,20394823,177570,206523.857,352760,2205,0.149,71.76,99.1,79,59.4,58.5
United States,2021-02-01,26480450,125895,146474,448319,1781,0.084,71.76,99.3,76.8,60.9,55.9
United States,2021-03-01,28812133,50155,67639,513035,1317,0.046,68.06,99.7,84.9,63.7,62.2
United States,2021-04-01,30654232,76850,65921.571,549480,1100,0.053,56.02,99.9,88.3,60.6,62.7
United States,2021-05-01,32514075,48159,49882.143,572960,749,0.043,56.02,99.8,82.9,61.6,63.2
United States,2021-06-01,33405422,21089,17207.286,590999,643,0.023,56.02,99.6,85.5,60.9,60.7
United States,2021-07-01,33795193,14921,12820.286,601071,283,0.025,58.83,99.2,81.2,59.9,64.1
United States,2021-08-01,35150568,45377,81542.714,609820,233,0.1,46.67,98.6,70.3,59.7,62.2
United States,2021-09-01,39583152,190608,164848.429,639870,2044,0.095,52.48,98.3,72.8,60.5,62.6
United States,2021-10-01,43692217,154908,110221.571,699074,2131,0.064,52.29,98.1,71.7,60.8,66.7
United States,2021-11-01,46160965,109855,74232.571,746222,1253,0.05,52.17,97.9,67.4,60.6,68.4
United States,2021-12-01,48740672,136940,86441.429,781572,2003,0.078,48.68,97.8,70.6,58.8,62.3
United States,2022-01-01,55096735,192132,410724.429,826015,401,0.267,47.67,97.6,67.2,57.6,59.9
United States,2022-02-01,75584949,326292,434085.857,892378,3357,0.183,45.62,97.3,62.8,58.6,56.5
United States,2022-03-01,79243976,46408,61975.857,952217,1768,0.038,37.14,97,59.4,57.1,58.3
United States,2022-04-01,80269827,31156,28063.286,984173,830,0.026,29.9,96.8,65.2,55.4,57.1
United States,2022-05-01,81500852,17354,54804.571,996363,23,0.069,27.96,96.4,58.4,56.1,55.9
United States,2022-06-01,84573737,228956,103333,1008026,677,0.119,26.5,96,50,53,55.3
United States,2022-07-01,87849496,156851,119410.286,1018153,502,,32,96,51.5,52.8,56.7
United States,2022-08-01,91532068,170167,129687,1030932,574,,30.75,96.3,58.2,52.8,56.9
United States,2022-09-01,94676755,130613,86854.429,1047233,681,,24.23,96.7,58.6,50.9,56.7
United States,2022-10-01,96387457,7894,46544.857,1059814,35,,25.94,,59.8,,
