Month,cpiyoy,cpiyoy1,cpiyoy2,govt_string,vaxfull,dvaxfull,dcovid,total_covid,new_cases,new_cases pm,new_deaths,new_deathspm,cci,cci1,cci2,cci3,cci4,cci5,cci6,cci7,cci8,cci_exp,cci_cur,ism_man,ism_non,ism_man_backlog,ism_non_backlog,ism_man_prices,ism_non_prices,ism_man_non_neworders,ism_non_neworders,ism_man_prod,ism_man_employ,ism_non_employ,ism_man_inv,dbear,debtceiling2011,dgulfwar1,dgulfwar2,dshut,dstock87,vaxdec2020,dcovxcci,dcovxcci6 ,dcovxcci7,dcovxism_man,dcovxism_non
1967M01,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.1,NA,NA,NA,72.9,NA,46.2,NA,54.1,48.3,NA,48.2,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA
1967M02,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.6,NA,NA,NA,61.8,NA,45.1,NA,50.4,47.6,NA,45.3,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA
1967M03,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.3,NA,NA,NA,54,NA,45.3,NA,48.7,46.3,NA,45.6,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA
1967M04,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.8,NA,NA,NA,56.3,NA,46.4,NA,44.3,41.8,NA,39.4,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA
1967M05,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.5,NA,NA,NA,56.1,NA,47.6,NA,48,45.5,NA,39.7,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA
1967M06,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.8,NA,NA,NA,58.4,NA,51.8,NA,50.7,45.8,NA,39.6,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA
1967M07,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.5,NA,NA,NA,63.9,NA,53.7,NA,53.4,50.2,NA,38.1,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA
1967M08,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.2,NA,NA,NA,67.5,NA,55.4,NA,56.4,52.9,NA,41.7,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA
1967M09,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.9,NA,NA,NA,75.2,NA,62,NA,57.4,51.6,NA,46.8,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA
1967M10,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.1,NA,NA,NA,78.7,NA,55.8,NA,57.7,52.4,NA,48,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA
1967M11,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.2,NA,NA,NA,83.8,NA,57,NA,58.6,51.5,NA,44.4,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA
1967M12,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.6,NA,NA,NA,79.6,NA,59.4,NA,58.7,51.5,NA,53.8,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA
1968M01,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.6,NA,NA,NA,78,NA,60.1,NA,59.3,53.2,NA,54.8,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA
1968M02,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55,NA,NA,NA,76.3,NA,56.6,NA,58.1,50.3,NA,53.7,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA
1968M03,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.8,NA,NA,NA,76.1,NA,55.7,NA,55.8,50.1,NA,50.7,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA
1968M04,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,NA,NA,NA,71.5,NA,64.5,NA,60.1,53.5,NA,54.9,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA
1968M05,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.3,NA,NA,NA,69.2,NA,56.2,NA,60,53.1,NA,54,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA
1968M06,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.5,NA,NA,NA,70.4,NA,54.3,NA,54.9,52.6,NA,55,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA
1968M07,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.1,NA,NA,NA,67.1,NA,54.5,NA,56.5,48.2,NA,55.8,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA
1968M08,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.7,NA,NA,NA,74.3,NA,53.8,NA,56.1,49.5,NA,54.2,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA
1968M09,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.8,NA,NA,NA,72.4,NA,55.4,NA,57,47.1,NA,42.4,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA
1968M10,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.8,NA,NA,NA,70.8,NA,58.5,NA,61.1,52.6,NA,44.3,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA
1968M11,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.1,NA,NA,NA,69.5,NA,61.3,NA,59.8,56.4,NA,43.5,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA
1968M12,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.1,NA,NA,NA,76.8,NA,56.7,NA,60.6,52.8,NA,46.3,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA
1969M01,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.9,NA,NA,NA,77.1,NA,54.4,NA,57.1,51.9,NA,44.2,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA
1969M02,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,NA,NA,NA,79.6,NA,57.9,NA,59.1,56.1,NA,46.3,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA
1969M03,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.1,NA,NA,NA,79.4,NA,59.3,NA,58.8,53.8,NA,47.6,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA
1969M04,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.2,NA,NA,NA,78.8,NA,54.4,NA,55.1,52.7,NA,49.2,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA
1969M05,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.7,NA,NA,NA,79.3,NA,57.6,NA,56.3,52.8,NA,50.7,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA
