continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,icu_patients,hosp_patients,total_tests,new_tests,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,new_people_vaccinated_smoothed,stringency_index,cci
North America,United States,2020-02-01,8,0,0.857,,,,,,,,,,,,,,,,,,0,101.2
North America,United States,2020-03-01,32,7,2.286,1,0,,,,348,348,,,,,,,,,,,8.33,100.2
North America,United States,2020-04-01,227893,35814,22721.714,6996,1637,804.286,,,1686877,153137,130867,0.388,0.199,5,,,,,,,72.69,99
North America,United States,2020-05-01,1115845,34846,28132.143,68515,1880,1902.714,,,7550390,336832,263078,0.781,0.136,7.4,,,,,,,72.69,98.5
North America,United States,2020-06-01,1808724,17853,20389.857,108613,767,945.429,,,19702700,439452,480938,1.427,0.064,15.6,,,,,,,72.69,98.5
North America,United States,2020-07-01,2697982,49332,44724.857,128120,702,517.714,,,38249704,885037,749841,2.225,0.094,10.6,,,,,,,68.98,98.5
North America,United States,2020-08-01,4605802,57401,62169.857,155040,1116,1125.143,14400,50419,66257905,793004,901178,2.674,0.084,11.9,,,,,,,67.13,98.7
North America,United States,2020-09-01,6088331,41966,41661.286,183831,1067,876.857,9472,31118,92449482,908137,858680,2.548,0.055,18.2,,,,,,,67.13,99
North America,United States,2020-10-01,7292533,46355,41392.286,206836,896,716.429,8005,27478,120327456,1225444,964122,2.861,0.048,20.8,,,,,,,62.5,99.2
North America,United States,2020-11-01,9253123,78060,84239.143,231003,509,876.429,12128,46094,156444102,899934,1273023,3.778,0.075,13.3,,,,,,,62.5,99.1
North America,United States,2020-12-01,13864255,198697,167643.286,273042,2561,1666.714,22868,96674,205127934,1844345,1579484,4.687,0.113,8.8,,,,,,,75.46,99.1
North America,United States,2021-01-01,20394823,177570,206523.857,352760,2205,2589.571,27471,121053,259150908,1256463,1502520,4.459,0.149,6.7,5826338,5671368,54440,126184,423285,411127,71.76,99.1
North America,United States,2021-02-01,26480450,125895,146474,448319,1781,3140.286,22230,90582,311032781,1038973,1584535,4.702,0.084,11.9,39401471,30643506,8006922,1408183,1484832,988115,71.76,99.3
North America,United States,2021-03-01,28812133,50155,67639,513035,1317,1990.571,11362,43721,347815226,1001190,1310121,3.888,0.046,21.7,90209406,57423734,30938177,2086184,2213005,1172240,68.06,99.7
North America,United States,2021-04-01,30654232,76850,65921.571,549480,1100,871.571,8470,35571,387280880,1447288,1226658,3.64,0.053,18.9,176883956,111312312,67069493,4568480,3236978,1810582,56.02,99.9
North America,United States,2021-05-01,32514075,48159,49882.143,572960,749,696.714,9105,34005,424436560,905273,1198761,3.557,0.043,23.3,264832701,153800993,116157933,1866019,2464178,952287,56.02,99.8
North America,United States,2021-06-01,33405422,21089,17207.286,590999,643,595.714,5489,18657,452599084,709780,683776,2.029,0.023,43.5,314962421,174106769,147790201,1283440,967429,440962,56.02,99.6
North America,United States,2021-07-01,33795193,14921,12820.286,601071,283,262.143,3614,12865,472770434,642637,582412,1.728,0.025,40,339763486,183774295,163999725,614740,568442,269151,58.83,99.2
North America,United States,2021-08-01,35150568,45377,81542.714,609820,233,386.143,12698,48538,494339348,568449,917618,2.723,0.1,10,355989041,193422867,171234653,336976,641741,439366,46.67,98.6
North America,United States,2021-09-01,39583152,190608,164848.429,639870,2044,1449.143,25963,97992,538101058,2040871,1679842,4.985,0.095,10.5,380964524,207240485,181380144,950934,878805,399284,52.48,98.3
North America,United States,2021-10-01,43692217,154908,110221.571,699074,2131,1974.714,19272,67124,587533446,1832789,1592553,4.726,0.064,15.6,404112271,215704068,191306022,1343612,988442,257924,52.29,98.1
North America,United States,2021-11-01,46160965,109855,74232.571,746222,1253,1309.714,12108,42623,631386671,1061722,1357022,4.027,0.05,20,433679278,222371497,197441095,1496119,1341136,253091,52.17,97.9
North America,United States,2021-12-01,48740672,136940,86441.429,781572,2003,1007.857,13671,53311,673848613,1970662,1211409,3.595,0.078,12.8,476713025,234428294,202709620,2196482,1222860,271182,48.68,97.8
North America,United States,2022-01-01,55096735,192132,410724.429,826015,401,1356.714,18863,96560,727619218,1260066,1855238,5.505,0.267,3.7,521083708,244471060,210079290,114123,1097228,285796,47.67,97.6
