date,cpi,gdp,uenm,sp500,cci,covid
2/1/28,NA,NA,NA,17.53000069,NA,0
3/1/28,NA,NA,NA,17.29999924,NA,0
4/2/28,NA,NA,NA,18.90999985,NA,0
5/1/28,NA,NA,NA,19.78000069,NA,0
6/1/28,NA,NA,NA,20.06999969,NA,0
7/1/28,NA,NA,NA,18.97999954,NA,0
8/1/28,NA,NA,NA,19.42000008,NA,0
9/1/28,NA,NA,NA,20.96999931,NA,0
10/1/28,NA,NA,NA,21.36000061,NA,0
11/1/28,NA,NA,NA,21.98999977,NA,0
12/1/28,NA,NA,NA,23.85000038,NA,0
1/1/29,NA,NA,NA,24.80999947,NA,0
2/1/29,NA,NA,NA,25.84000015,NA,0
3/1/29,NA,NA,NA,25.82999992,NA,0
4/1/29,NA,NA,NA,24.87999916,NA,0
5/1/29,NA,NA,NA,25.98999977,NA,0
6/1/29,NA,NA,NA,25.27000046,NA,0
7/1/29,NA,NA,NA,27.77000046,NA,0
8/1/29,NA,NA,NA,29.07999992,NA,0
9/1/29,NA,NA,NA,31.81999969,NA,0
10/1/29,NA,NA,NA,29.97999954,NA,0
11/1/29,NA,NA,NA,22.87999916,NA,0
12/1/29,NA,NA,NA,20.95000076,NA,0
1/1/30,NA,NA,NA,21.18000031,NA,0
2/1/30,NA,NA,NA,22.73999977,NA,0
3/1/30,NA,NA,NA,23.36000061,NA,0
4/1/30,NA,NA,NA,25.37000084,NA,0
5/1/30,NA,NA,NA,24.29999924,NA,0
6/1/30,NA,NA,NA,24.39999962,NA,0
7/1/30,NA,NA,NA,20.23999977,NA,0
8/1/30,NA,NA,NA,21.11000061,NA,0
9/1/30,NA,NA,NA,21.37999916,NA,0
10/1/30,NA,NA,NA,19.42000008,NA,0
11/1/30,NA,NA,NA,17.12999916,NA,0
12/1/30,NA,NA,NA,16.79999924,NA,0
1/1/31,NA,NA,NA,15.85000038,NA,0
2/1/31,NA,NA,NA,16.15999985,NA,0
3/1/31,NA,NA,NA,17.52000046,NA,0
4/1/31,NA,NA,NA,16.52000046,NA,0
5/1/31,NA,NA,NA,14.64999962,NA,0
6/1/31,NA,NA,NA,12.39999962,NA,0
7/1/31,NA,NA,NA,15.06999969,NA,0
8/1/31,NA,NA,NA,13.93000031,NA,0
9/1/31,NA,NA,NA,13.92000008,NA,0
10/1/31,NA,NA,NA,9.529999733,NA,0
11/1/31,NA,NA,NA,10.5,NA,0
12/1/31,NA,NA,NA,9.380000114,NA,0
1/1/32,NA,NA,NA,7.559999943,NA,0
2/1/32,NA,NA,NA,8.229999542,NA,0
3/1/32,NA,NA,NA,8.350000381,NA,0
4/1/32,NA,NA,NA,7.179999828,NA,0
5/1/32,NA,NA,NA,5.739999771,NA,0
6/1/32,NA,NA,NA,4.400000095,NA,0
7/1/32,NA,NA,NA,4.599999905,NA,0
8/1/32,NA,NA,NA,6.110000134,NA,0
9/1/32,NA,NA,NA,8.470000267,NA,0
10/1/32,NA,NA,NA,8.06000042,NA,0
11/1/32,NA,NA,NA,6.760000229,NA,0
12/1/32,NA,NA,NA,6.730000019,NA,0
1/1/33,NA,NA,NA,6.829999924,NA,0
2/1/33,NA,NA,NA,6.670000076,NA,0
3/1/33,NA,NA,NA,5.769999981,NA,0
4/1/33,NA,NA,NA,5.869999886,NA,0
5/1/33,NA,NA,NA,8.430000305,NA,0
6/1/33,NA,NA,NA,9.739999771,NA,0
7/1/33,NA,NA,NA,11.61999989,NA,0
8/1/33,NA,NA,NA,10.25,NA,0
9/1/33,NA,NA,NA,11.22999954,NA,0
10/1/33,NA,NA,NA,9.619999886,NA,0
11/1/33,NA,NA,NA,9.119999886,NA,0
12/1/33,NA,NA,NA,9.909999847,NA,0
1/1/34,NA,NA,NA,10.10999966,NA,0
2/1/34,NA,NA,NA,11.46000004,NA,0
3/1/34,NA,NA,NA,10.72000027,NA,0
4/2/34,NA,NA,NA,10.76000023,NA,0
5/1/34,NA,NA,NA,10.46000004,NA,0
6/1/34,NA,NA,NA,9.380000114,NA,0
7/1/34,NA,NA,NA,9.68999958,NA,0
8/1/34,NA,NA,NA,8.949999809,NA,0
9/4/34,NA,NA,NA,9.06000042,NA,0
10/1/34,NA,NA,NA,8.829999924,NA,0
11/1/34,NA,NA,NA,8.770000458,NA,0
12/1/34,NA,NA,NA,9.409999847,NA,0
1/1/35,NA,NA,NA,9.510000229,NA,0
2/1/35,NA,NA,NA,9.050000191,NA,0
3/1/35,NA,NA,NA,8.789999962,NA,0
4/1/35,NA,NA,NA,8.539999962,NA,0
5/1/35,NA,NA,NA,9.229999542,NA,0
6/1/35,NA,NA,NA,9.670000076,NA,0
7/1/35,NA,NA,NA,10.27999973,NA,0
8/1/35,NA,NA,NA,11.03999996,NA,0
9/3/35,NA,NA,NA,11.21000004,NA,0
10/1/35,NA,NA,NA,11.47999954,NA,0
11/1/35,NA,NA,NA,12.60999966,NA,0
12/1/35,NA,NA,NA,12.75,NA,0
1/1/36,NA,NA,NA,13.39999962,NA,0
2/3/36,NA,NA,NA,14.43999958,NA,0
3/2/36,NA,NA,NA,14.77000046,NA,0
4/1/36,NA,NA,NA,15.18999958,NA,0
5/1/36,NA,NA,NA,13.86999989,NA,0
6/1/36,NA,NA,NA,14.39000034,NA,0
7/1/36,NA,NA,NA,14.89999962,NA,0
